OBJECTID,MapUnit,Name,FullName,Age,Description,HierarchyKey,ParagraphStyle,Label,Symbol,AreaFillRGB,AreaFillPatternDescription,DescriptionSourceID,GeoMaterial,GeoMaterialConfidence,DescriptionOfMapUnits_ID
"28",Jom,Ophiolitic-block mélange,Ophiolitic-block mélange,Late Jurassic,"Mélange consisting of blocks of ophiolitic affinity (that is, derived from the Coast Range ophiolite) in matrix of highly sheared sandstone, shale, argillite, serpentinite, and lesser sedimentary-serpentinite layers. Some ophiolitic blocks reach several hundred meters in diameter. Matrix is highly deformed and has densely spaced fracture and shear surfaces. Presence of well-rounded ophiolitic material in sandstone matrix, observed along north shore of Lake Berryessa (fig. 10), supports olistostrome origin originally proposed by Phipps (1984). Unit has undergone intensive shearing and tectonic mixing, but timing of deformation is unclear. McLaughlin and others (2018) estimated that tectonic mixing of 
similar ophiolitic-block mélange north of map area took place in Early Cretaceous (between 
Albian and Valanginian). Unit is stratigraphically below the Knoxville Formation in map area, 
although contact between units is laterally discontinuous and obscured by substantial faulting 
and dismemberment, making primary depositional relations difficult to decipher. Faulting has 
juxtaposed unit with the underlying Coast Range ophiolite, although contact exposures are poor 
and timing of faulting is unclear. Blocks within mélange include the following:",05-01-02-03,DMU Unit 2,Jom,"19","179,255,222",,DAS1,Sedimentary rock,High,DMU26
"29",ompb,Pillow basalt,Pillow basalt,Late Jurassic,"Black to dark-brown, fine-grained pillow basalt that contains plagioclase phenocrysts. Pillows are tens of centimeters to 1 m in diameter; pillow asymmetries provide rare up-direction indicators",05-01-02-03-01,DMU Unit 3,ompb,"20","255,153,204",,DAS1,Extrusive igneous material,High,DMU27
"30",ombu,Basaltic rock,Basaltic rock,Late Jurassic,"Black to dark-brown to red basalt, mapped using aerial photographs and in field",05-01-02-03-02,DMU Unit 3,ombu,"21","235,179,179",,DAS1,Extrusive igneous material,High,DMU28
"31",omgs,Greenstone,Greenstone,Late Jurassic,"Dark-green to black, fine-grained greenstone",05-01-02-03-03,DMU Unit 3,omgs,"22","000,179,102",,DAS1,Extrusive igneous material,High,DMU29
"32",omsp,Serpentinite,Serpentinite,Late Jurassic,Green to teal-green serpentinite,05-01-02-03-04,DMU Unit 3,omsp,"23","153,153,255",,DAS1,Igneous and metamorphic rock,High,DMU30
"33",omu,"Ophiolitic blocks, undifferentiated","Ophiolitic blocks, undifferentiated",Late Jurassic,"Mapped from geomorphic expression using aerial photographs only; not field checked. Internal contacts outline individual blocks that appear to be in contact",05-01-02-03-05,DMU Unit 3,omu,"24","153,204,179",,DAS1,Rock,High,DMU31
"34",Jobb,Breccia of Pope Creek,Breccia of Pope Creek,Late Jurassic,"Black to dark-gray, mafic breccia that also contains clasts of 
lesser gabbro and tuff. Located along Pope Creek in southwest corner of map area. McLaughlin 
and others (2016) determined U-Pb age of 151.1±2.5 Ma from zircons in overlying tuff at Pope 
Creek locality, suggesting that breccia is coeval with rocks of Elder Creek terrane near Paskenta. 
Unit possibly correlates to the basaltic breccia unit mvbb, notably at Jim Dollar Mountain in 
central part of map area",05-01-03,DMU Unit 1,Jobb,"25","153,153,179",,DAS1,Extrusive igneous material,High,DMU32
"35",,COAST RANGE OPHIOLITE,,,,05-02,DMU Heading3,,,,,,,,DMU33
"36",Josp,Serpentinized ultramafic rocks,Serpentinized ultramafic rocks,Middle Jurassic,"Tectonically sheared serpentinite-matrix mélange and massive, serpentinized harzburgite. Texture is well jointed and consists of brecciated blocks within a highly sheared, matrix-rich monomict serpentinite mélange (Melosh, 2019). Slabs and blocks of ophiolitic affinity that are tectonically entrained within mélange include basalt, gabbro, amphibolite, tuffaceous chert, tuff, and plagiogranite, as well as pieces of sandstone and shale from the Great Valley sequence. Uranium-lead (U-Pb) age of 163.6±2.0 Ma on zircon in plagiogranite (unit pgb) block (Orme and Surpless, 2019). Blocks within mélange include the following:",05-02-01,DMU Unit 1,Josp,"26","222,235,255",,DAS1,Igneous and metamorphic rock,High,DMU34
"37",msp,Massive serpentinite,Massive serpentinite,Middle Jurassic,"Dark- to light-green, massive serpentinite, weathers to orange and red. Chrysotile-filled joints surround serpentinite kernels and brecciated kernels. Unit shows little to no shear deformation, although it may contain discrete shear zones; blocks reach several kilometers in diameter",05-02-01-01,DMU Unit 2,msp,"27","204,204,255",,DAS1,Igneous and metamorphic rock,High,DMU35
"38",ab,Amphibolite,Amphibolite,Middle Jurassic,"Black, medium- to fine-grained amphibolite that contains hornblende, biotite, muscovite, and lesser chlorite. Contains ductily deformed quartz ribbons that have bulging recrystallization textures",05-02-01-02,DMU Unit 2,ab,"28","000,077,255",,DAS1,"Medium and high-grade regional metamorphic rock, of unspecified origin",High,DMU36
"39",shb,Schist,Schist,Middle Jurassic,Mica schist blocks consisting of white and dark-gray to black to light-orange muscovite and biotite schists and fine-grained plagioclase and quartz,05-02-01-03,DMU Unit 2,shb,"29","153,222,255",,DAS1,"Medium and high-grade regional metamorphic rock, of unspecified origin",High,DMU37
"40",cb,Chert,Chert,Middle Jurassic,"Brown to white, well-bedded chert containing abundant radiolaria that are visible in thin section",05-02-01-04,DMU Unit 2,cb,"30","255,077,235",,DAS1,Marine sediment,High,DMU38
"41",mvbb,Basaltic breccia,Basaltic breccia,Middle Jurassic,"Black to dark-brown, clast-supported basaltic breccia. Basalt has fine-grained 
porphyritic texture and contains phenocrysts of plagioclase and olivine alteration products, 
including chlorite and epidote. Likely correlative with the breccia of Pope Creek (Jobb)",05-02-01-05,DMU Unit 2,mvbb,"31","204,153,179",,DAS1,Extrusive igneous material,High,DMU39
"42",mvpb,Pillow basalt,Pillow basalt,Middle Jurassic,"Black to dark-brown, fine-grained pillow basalt that contains plagioclase phenocrysts. Pillows are tens of centimeters to 1 m in diameter; pillow asymmetries provide rare up-direction indicators",05-02-01-06,DMU Unit 2,mvpb,"32","168,000,025",,DAS1,Extrusive igneous material,High,DMU40
"43",mvbu,"Basalt, undifferentiated","Basalt, undifferentiated",Middle Jurassic,"Black to dark-brown to red basalt, mapped using aerial photographs and in field",05-02-01-07,DMU Unit 2,mvbu,"33","179,036,036",,DAS1,Extrusive igneous material,High,DMU41
"44",pgb,Plagiogranite,Plagiogranite,Middle Jurassic,"White to buff, porphyritic plagiogranite that contains phenocrysts of quartz and plagioclase as large as 1–2 cm in diameter; dated at 163.6±2.0 Ma (Orme and Surpless, 2019)",05-02-01-08,DMU Unit 2,pgb,"34","194,122,212",,DAS1,"Coarse-grained, felsic-composition intrusive igneous rock",High,DMU42
"45",gb,Gabbro and cumulate gabbro,Gabbro and cumulate gabbro,Middle Jurassic,"Dark-gray to black, porphyritic gabbro that contains phenocrysts of plagioclase, amphibole, and pyroxene 0.5 cm in diameter. Some blocks show cumulate layering textures",05-02-01-09,DMU Unit 2,gb,"35","115,076,000",,DAS1,"Coarse-grained, felsic-composition intrusive igneous rock",High,DMU43
"46",ssb,Sandstone and mudstone,Sandstone and mudstone,Middle Jurassic,"Gray to light-brown, medium- to coarse-grained sandstone and dark-brown mudstone",05-02-01-10,DMU Unit 2,ssb,"36","242,232,189",,DAS1,Clastic sediment,High,DMU44
"47",tfb,Tuff,Tuff,Middle Jurassic,"Gray to greenish-gray to white tuff; bubble-wall shards visible in thin section",05-02-01-11,DMU Unit 2,tfb,"37","190,255,232",,DAS1,Air-fall tephra,High,DMU45
"48",,FRANCISCAN COMPLEX,,,,"06",DMU Heading2,,,,,,,,DMU46
"49",Kfm,Metagraywake,Metagraywake,Early and Late Cretaceous,"Light-brown to gray to dark-gray, coarse- to fine-grained, lawsonite- and jadeite-bearing metagraywacke and schist that has metamorphic foliation and textural zone 2A fabrics (Jayko and others, 1986). Similar rocks outside map area have radiometric metamorphic ages of 90–110 Ma (Mattinson and Echeverria, 1980; Wakabayashi, 1999), and they contain Late Jurassic fossils (Crawford, 1976). Unit may be correlative with rocks of Yolla Bolly terrane farther north (see, for example, McLaughlin and Ohlin, 1984)",06-01-01,DMU Unit 1,Kfm,"38","204,235,255",,DAS1,Metasedimentary rock,High,DMU48
"50",Lake,Lake,Lake,Modern,Water,01-08,DMU Unit 1,Lake,"40","222,255,255",,DAS1,Water or ice,High,DMU49
"51",,Clear Lake Volcanics,Clear Lake Volcanics,early-to late-Pleistocene,Mapped as the following subunits:,03-01,DMU Unit 1,,,,,,,,DMU13
"52",,EASTERN BELT,,,,06-01,DMU Heading3,,,,,,,,DMU47
