OBJECTID,Type,IsConcealed,LocationConfidenceMeters,ExistenceConfidence,IdentityConfidence,Symbol,Label,DataSourceID,Notes,ContactsAndFaults_ID,Shape_Length
"28",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0028,"82.11145635276986"
"29",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0029,"235.4104830672019"
"30",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0030,"334.2444266005173"
"31",fault,Y,"10",questionable,questionable,02.01.07,,DAS1,Aerial Photo,CAF0031,"58.44012033967208"
"32",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0032,"1323.880973919027"
"33",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0033,"16222.72162760104"
"34",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0034,"307.164285464188"
"35",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0035,"183.746357990367"
"36",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0036,"944.90631872008"
"37",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0037,"308.4740768267955"
"38",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0038,"308.3298709252761"
"39",contact,N,"5",certain,certain,01.01.01,,DAS1,Lidar,CAF0039,"467.1303784514141"
"40",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0040,"1365.790568327038"
"41",contact,N,"5",certain,certain,01.01.01,,DAS1,Lidar,CAF0041,"69.70804553961325"
"42",contact,N,"5",certain,certain,01.01.01,,DAS1,Lidar,CAF0042,"1516.744497793544"
"43",contact,N,"5",certain,certain,01.01.01,,DAS1,Lidar,CAF0043,"1720.522977177294"
"44",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0044,"631.618281233486"
"45",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0045,"670.3047502388645"
"46",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0046,"1407.312130678221"
"47",fault,N,"10",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0047,"2164.141902052128"
"48",fault,N,"5",questionable,questionable,02.01.03,,DAS1,Aerial Photo,CAF0048,"791.3775750951335"
"49",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0049,"773.9095336909061"
"50","fault, thrust",N,"5",certain,certain,02.08.01,,DAS1,Aerial Photo,CAF0050,"2104.683201917795"
"51","fault, thrust",N,"5",certain,certain,02.08.01,,DAS1,Aerial Photo,CAF0051,"836.6917648237518"
"52",fault,N,"5",certain,certain,02.01.07,,DAS1,Aerial Photo,CAF0052,"182.0668260018989"
"53",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0053,"1130.838830190954"
"54",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0054,"1269.225477000236"
"55",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0055,"1973.886886480409"
"56",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0056,"391.2857812267527"
"57",fault,N,"25",certain,certain,02.01.05,,DAS1,,CAF0057,"375.2102636042277"
"58",contact,N,"5",certain,certain,01.01.01,,DAS1,Field,CAF0058,"727.5392222431906"
"59","fault, thrust",N,"10",certain,certain,02.08.01,,DAS1,Aerial Photo,CAF0059,"152.367916145594"
"60",fault,N,"5",certain,certain,02.01.01,,DAS1,Field,CAF0060,"66.00301758260176"
"61",fault,N,"10",questionable,questionable,02.01.03,,DAS1,Aerial Photo,CAF0061,"1514.35593966782"
"62",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0062,"110.3670013628272"
"63",contact,N,"5",certain,certain,01.01.03,,DAS1,,CAF0063,"599.6173327732995"
"64",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0064,"1076.488092961826"
"65",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0065,"2096.461029967216"
"66",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo/Field,CAF0066,"452.592877428747"
"67",fault,Y,"5",certain,certain,02.01.07,,DAS1,Aerial Photo/Field,CAF0067,"124.4161220536926"
"68",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0068,"1851.721305886469"
"69",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0069,"1232.646699370482"
"70",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0070,"1680.464636737627"
"71",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0071,"455.2264552715471"
"72",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0072,"2697.628463409119"
"73","fault, thrust",N,"5",certain,questionable,02.08.01,,DAS1,,CAF0073,"1472.485676279087"
"74",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0074,"1595.553978564564"
"75",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0075,"1199.965315217752"
"76",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0076,"119.5466645352149"
"77",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0077,"626.1279080671252"
"78",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0078,"445.2443494971533"
"79",fault,Y,"5",certain,certain,02.01.07,,DAS1,,CAF0079,"221.2362389470449"
"80",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0080,"874.1106722375332"
"81",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0081,"758.0691717587902"
"82",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0082,"646.9769723732276"
"83",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0083,"150.4635476487142"
"84",fault,N,"10",certain,questionable,02.01.03,,DAS1,,CAF0084,"908.9500526046068"
"85",map boundary,N,"1",certain,certain,"31.08",,DAS1,,CAF0085,"123298.0577987187"
"86",fault,N,"5",certain,certain,02.06.01,,DAS1,Aerial Photo,CAF0086,"2528.16244300645"
"87",fault,N,"10",certain,certain,02.01.01,,DAS1,Lidar,CAF0087,"699.5977538522382"
"88",fault,N,"10",certain,certain,02.06.03,,DAS1,Lidar,CAF0088,"1214.007528438046"
"89",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0089,"556.3789695917648"
"90",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0090,"754.4532128187922"
"91",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0091,"1879.775376675109"
"92",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0092,"4869.259079953996"
"93",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0093,"602.3881795984206"
"94",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0094,"808.4796496075785"
"95",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0095,"523.2448075783253"
"96",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0096,"839.1454757591125"
"97",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0097,"611.2349922483237"
"98",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0098,"625.7527273202132"
"99",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0099,"618.3129829408105"
"100",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0100,"587.3343898256286"
"101",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0101,"481.2005077879667"
"102",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0102,"539.4726985627403"
"103",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0103,"469.7747226444914"
"104",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0104,"827.1974077568128"
"105",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0105,"531.6134520399423"
"106",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0106,"709.567377979687"
"107",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0107,"581.4790318758269"
"108",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0108,"803.71474329783"
"109",fault,N,"5",certain,certain,02.01.03,,DAS1,Aerial Photo,CAF0109,"1114.820977582279"
"110",fault,N,"5",certain,certain,02.01.03,,DAS1,Aerial Photo,CAF0110,"232.8335361512897"
"111",fault,N,"5",certain,certain,02.01.03,,DAS1,Aerial Photo,CAF0111,"663.6555031766746"
"112",fault,N,"5",certain,certain,02.01.03,,DAS1,Aerial Photo,CAF0112,"586.2051758808402"
"113",waterline,N,"5",certain,certain,"15.02",,DAS1,,CAF0113,"1205.572582877141"
"114",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0114,"9353.729774221725"
"115",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0115,"2731.376979350042"
"116",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0116,"1952.929594212109"
"117",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0117,"985.6735699686586"
"118",contact,N,"10",certain,certain,01.01.01,,DAS4,,CAF0118,"7448.848319461311"
"119",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0119,"1250.774157814656"
"120",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0120,"1112.53578199852"
"121",contact,N,"25",certain,certain,01.01.01,,DAS3,,CAF0121,"3300.599604297776"
"122",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0122,"2123.424499511075"
"123",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0123,"1617.051179075617"
"124",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0124,"1140.94830316038"
"125",fault,N,"10",certain,certain,02.01.03,,DAS1,,CAF0125,"834.1059151929338"
"126",contact,N,"10",certain,certain,01.01.01,,DAS1,,CAF0126,"4257.33922330744"
"127",fault,N,"10",certain,certain,02.01.01,,DAS3,,CAF0127,"4125.08283162632"
"128",fault,N,"10",certain,certain,02.01.01,,DAS3,,CAF0128,"3236.456625594271"
"129",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0129,"1366.95606287781"
"130",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0130,"726.4270280151216"
"131",contact,N,"25",certain,certain,01.01.01,,DAS3,,CAF0131,"1805.476998902497"
"132",fault,N,"10",certain,certain,02.01.01,,DAS3,,CAF0132,"922.229263235988"
"133",fault,N,"5",certain,certain,02.01.03,,DAS1,,CAF0133,"108.4461298852651"
"134",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0134,"1062.63805199086"
"135","fault, thrust",N,"5",certain,certain,02.08.01,,DAS1,,CAF0135,"801.3873925010363"
"136","fault, normal",N,"10",certain,certain,02.02.01,,DAS1,,CAF0136,"571.9893672676204"
"137",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0137,"400.3692459132153"
"138",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0138,"1547.958256868833"
"139",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0139,"476.7590100864899"
"140",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0140,"134.574335658869"
"141",fault,N,"5",certain,certain,02.01.01,,DAS3,,CAF0141,"122.6870331887818"
"142",fault,N,"10",certain,certain,02.01.01,,DAS3,,CAF0142,"1353.804991860368"
"143",contact,N,"10",certain,certain,01.01.01,,DAS3,,CAF0143,"1169.222918894955"
"144",contact,N,"10",certain,certain,01.01.01,,DAS3,,CAF0144,"175.4119568095968"
"145",contact,N,"10",certain,certain,01.01.01,,DAS3,,CAF0145,"229.1424528117057"
"146",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0146,"260.0705448863143"
"147",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0147,"1713.031218496935"
"148",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0148,"608.4967705286783"
"149",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0149,"1839.408693671112"
"150",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0150,"320.6562147752342"
"151",fault,Y,"5",certain,certain,02.01.07,,DAS1,,CAF0151,"89.09836325739384"
"152",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0152,"569.813499589207"
"153",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0153,"515.8062772486725"
"154",fault,Y,"5",certain,certain,02.01.07,,DAS1,,CAF0154,"140.5342250463068"
"155",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0155,"2598.73994054265"
"156",fault,N,"10",certain,certain,02.06.01,,DAS1,Aerial Photo,CAF0156,"1594.559446513559"
"157",fault,N,"5",certain,certain,02.01.03,,DAS1,,CAF0157,"802.5488278947649"
"158",contact,N,"10",certain,certain,01.01.03,,DAS3,,CAF0158,"3084.929243937612"
"159",fault,N,"10",certain,certain,02.01.03,,DAS4,,CAF0159,"963.3302889873564"
"160",fault,N,"10",certain,certain,02.01.01,,DAS4,,CAF0160,"263.7288125643745"
"161",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0161,"937.1500262983451"
"162",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0162,"682.7408266503015"
"163",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0163,"472.6990522497521"
"164",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0164,"206.0430802029348"
"165",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0165,"729.575453510573"
"166",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0166,"1945.839903869796"
"167",fault,N,"10",certain,certain,02.01.03,,DAS1,,CAF0167,"984.2187115121048"
"168",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0168,"821.692695032346"
"169",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0169,"2000.563598769129"
"170",fault,N,"5",certain,questionable,02.01.01,,DAS1,,CAF0170,"423.4362747106279"
"171",fault,N,"5",certain,questionable,02.01.01,,DAS1,,CAF0171,"760.6569836873637"
"172",fault,N,"5",certain,questionable,02.01.01,,DAS1,,CAF0172,"237.8109592212951"
"173",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0173,"381.6801072533568"
"174",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0174,"408.2963979746499"
"175",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0175,"496.1991892384917"
"176",fault,Y,"10",certain,certain,02.01.07,,DAS1,,CAF0176,"1108.22734305788"
"177",fault,Y,"5",certain,certain,02.01.07,,DAS1,,CAF0177,"24.16559568061615"
"178","fault, thrust",N,"5",certain,certain,02.08.01,,DAS4,,CAF0178,"1899.840129121214"
"179",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF1964,"741.6007290192997"
"180",fault,Y,"10",certain,certain,02.01.07,,DAS1,,CAF0180,"806.6110110756988"
"181",fault,N,"10",certain,certain,02.01.03,,DAS1,,CAF0181,"150.8234388950904"
"182",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0182,"160.0576202218805"
"183",fault,Y,"10",certain,certain,02.01.07,,DAS1,,CAF0183,"83.48054879932587"
"184",fault,N,"25",certain,certain,02.01.01,,DAS1,,CAF0184,"457.3651391404197"
"185",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0185,"498.2623596736402"
"186",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0186,"552.741853453796"
"187",contact,N,"10",certain,certain,01.01.01,,DAS1,,CAF0187,"395.1107607134026"
"188",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0188,"709.3221490437779"
"189",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0189,"236.2842509636884"
"190",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0190,"87.75083084190464"
"191",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0191,"406.7561415662547"
"192",fault,Y,"10",certain,certain,02.01.07,,DAS1,,CAF0192,"179.0176126155554"
"193",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0193,"1086.253542397778"
"194",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0194,"282.2043040008322"
"195",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0195,"22.22816378918022"
"196",fault,N,"25",certain,certain,02.01.03,,DAS1,,CAF0196,"468.5494282702119"
"197",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0197,"410.7078392447171"
"198",fault,Y,"10",certain,certain,02.06.07,,DAS1,Aerial Photo,CAF0198,"766.8692625348499"
"199",fault,Y,"10",certain,certain,02.06.07,,DAS1,Aerial Photo,CAF0199,"517.9624498851748"
"200",contact,N,"10",certain,certain,01.01.01,,DAS1,,CAF0200,"554.0938931800154"
"201","fault, thrust",Y,"25",certain,certain,02.08.07,,DAS4,,CAF0201,"1280.804579488899"
"202",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0202,"2589.666233179726"
"203","fault, thrust",N,"10",certain,certain,02.08.03,,DAS4,,CAF0203,"647.4035543753374"
"204","fault, thrust",N,"25",certain,certain,02.08.03,,DAS4,,CAF0204,"435.0838385251786"
"205",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0205,"515.8871519776211"
"206",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0206,"388.5988466596187"
"207",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0207,"3570.857328930758"
"208",fault,Y,"5",certain,certain,02.01.07,,DAS1,,CAF0208,"136.2239123654093"
"209",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0209,"105.0117584114195"
"210",fault,Y,"5",certain,certain,02.01.07,,DAS1,,CAF0210,"251.5779483528561"
"211",fault,N,"5",certain,certain,02.01.03,,DAS1,,CAF0211,"490.3527540438003"
"212",fault,N,"5",certain,certain,02.01.03,,DAS1,,CAF0212,"47.15553431282774"
"213",fault,Y,"10",certain,certain,02.01.07,,DAS1,,CAF0213,"23.8409195973247"
"214",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0214,"23.12212216628543"
"215",fault,Y,"10",certain,certain,02.01.07,,DAS1,,CAF0215,"83.19463151457015"
"216",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0216,"435.826510922145"
"217",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0217,"836.0416320384669"
"218",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0218,"193.478083081096"
"219",fault,Y,"10",certain,certain,02.01.07,,DAS1,,CAF0219,"59.19948791294124"
"220",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0220,"999.603153144905"
"221",fault,Y,"10",certain,certain,02.06.07,,DAS1,Aerial Photo,CAF0221,"269.4319408326923"
"222",fault,N,"10",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0222,"36.04402981232914"
"223",fault,N,"25",certain,certain,02.01.01,,DAS1,,CAF0223,"356.3791728818409"
"224",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0224,"504.8586269039056"
"225",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0225,"353.7629748525495"
"226",fault,N,"10",certain,certain,02.01.03,,DAS1,,CAF0226,"24.55691164252427"
"227",contact,N,"10",certain,certain,01.01.03,,DAS1,,CAF0227,"1172.277067189766"
"228",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0228,"1921.181623270626"
"229",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0229,"1622.013605936599"
"230",fault,Y,"10",certain,certain,02.01.07,,DAS1,,CAF0230,"190.6302409908795"
"231",fault,N,"10",certain,certain,02.01.03,,DAS1,,CAF0231,"297.8811370018167"
"232",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0232,"1120.855453166447"
"233",contact,N,"25",certain,certain,01.01.01,,DAS1,,CAF0233,"1676.907832566185"
"234",fault,N,"25",certain,certain,02.01.03,,DAS1,,CAF0234,"104.3756453132466"
"235",fault,N,"10",certain,certain,02.01.03,,DAS1,,CAF0235,"601.1809097258874"
"236",fault,N,"25",questionable,questionable,02.01.03,,DAS1,,CAF0236,"545.2713917631457"
"237",fault,N,"5",certain,certain,02.01.01,,DAS1,,CAF0237,"384.9351526119961"
"238",waterline,N,"5",certain,certain,"15.02",,DAS1,,CAF0238,"50.36990974121877"
"239",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0239,"434.210345969094"
"240",contact,N,"10",certain,certain,01.01.01,,DAS1,,CAF0240,"285.6950823709393"
"241",contact,N,"25",certain,certain,01.01.01,,DAS1,,CAF0241,"1016.217904391542"
"242",contact,N,"10",certain,certain,01.01.01,,DAS1,,CAF0242,"576.383784235161"
"243",fault,N,"10",certain,certain,02.01.03,,DAS1,,CAF0243,"460.2701110641644"
"244",fault,N,"25",certain,certain,02.01.03,,DAS1,,CAF0244,"162.3287925518444"
"245","fault, thrust",N,"5",certain,certain,02.08.01,,DAS1,,CAF0245,"2114.113973657091"
"246",fault,N,"5",certain,certain,02.08.01,,DAS1,,CAF0246,"2531.161171385615"
"247",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0247,"510.9274488919572"
"248",fault,Y,"5",certain,certain,02.08.07,,DAS1,,CAF0248,"56.62175303971804"
"249",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0249,"430.5515312911302"
"250",contact,N,"25",certain,certain,01.01.01,,DAS3,,CAF0250,"2572.754164995103"
"251",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0251,"687.2227173478017"
"252",fault,N,"10",certain,certain,02.01.03,,DAS1,,CAF0252,"771.4277387333349"
"253",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0253,"496.671745483678"
"254",fault,N,"10",certain,certain,02.01.01,,DAS1,,CAF0254,"1073.553100732158"
"255",contact,N,"25",certain,certain,01.01.01,,DAS3,,CAF0255,"440.0144278139794"
"256",contact,N,"25",certain,certain,01.01.01,,DAS3,,CAF0256,"270.722077862998"
"257",contact,N,"25",certain,certain,01.01.01,,DAS1,,CAF0257,"112.644418176148"
"258",fault,N,"10",certain,certain,02.01.01,,DAS4,,CAF0258,"624.1029210604888"
"259",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0259,"518.0283469685768"
"260",waterline,N,"5",certain,certain,"15.02",,DAS1,Aerial Photo,CAF0260,"8890.455864415293"
"261",waterline,N,"5",certain,certain,"15.02",,DAS1,,CAF0261,"10810.08014552272"
"262",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0262,"802.4831589295454"
"263",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0263,"3572.189464245091"
"264",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0264,"1229.510419155529"
"265",contact,N,"25",certain,certain,01.01.03,,DAS1,,CAF0265,"2405.929442406188"
"266",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0266,"1017.481587045163"
"267",contact,N,"5",certain,certain,01.01.01,,DAS1,,CAF0267,"1108.543251893834"
"268",waterline,N,"5",certain,certain,"15.02",,DAS1,Aerial Photo,CAF0268,"6432.413995385587"
"269",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0269,"530.4970128422697"
"270",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0270,"2055.655034752634"
"271",fault,N,"5",certain,certain,02.01.01,,DAS1,Field,CAF0271,"673.4863935986598"
"272",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0272,"1477.74876810747"
"273",fault,N,"5",certain,certain,02.01.01,,DAS1,Field,CAF0273,"121.5437919392045"
"274",fault,N,"5",certain,certain,02.01.01,,DAS1,Field,CAF0274,"109.6382232205429"
"275",waterline,N,"5",certain,certain,"15.02",,DAS1,Aerial Photo,CAF0275,"22751.93253338843"
"276",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0276,"944.3137327988597"
"277",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0277,"533.5793274693414"
"278",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0278,"727.3303386931685"
"279",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0279,"147.0194717275511"
"280",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0280,"1334.998698743393"
"281",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0281,"7044.905230979902"
"282",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0282,"434.7745430564838"
"283",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0283,"1657.030317387864"
